Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,97.80564263322884,99.39393939393939,96.47058823529412,96.1038961038961,99.32885906040269,97.91044776119402
CellType 1,100.0,100.0,100.0,100.0,100.0,100.0
CellType 2,98.11912225705329,87.5,97.22222222222221,99.6415770609319,98.23321554770318,92.10526315789473
CellType 3,98.7460815047022,100.0,93.22033898305084,98.48484848484848,100.0,96.49122807017544
CellType 4,99.05956112852664,62.5,100.0,100.0,99.04458598726114,76.92307692307692
CellType 5,100.0,100.0,100.0,100.0,100.0,100.0
CellType 6,99.05956112852664,0.0,0.0,99.6845425867508,99.37106918238993,
CellType 7,100.0,100.0,100.0,100.0,100.0,100.0
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,100.0,100.0,100.0,100.0,100.0,100.0
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.68652037617555,0.0,,100.0,99.68652037617555,
