Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,97.80564263322884,98.18181818181819,97.59036144578313,97.40259740259741,98.0392156862745,97.88519637462237
CellType 1,99.68652037617555,100.0,92.3076923076923,99.6742671009772,100.0,95.99999999999999
CellType 2,99.05956112852664,97.5,95.1219512195122,99.2831541218638,99.64028776978418,96.29629629629629
CellType 3,97.80564263322884,94.54545454545455,92.85714285714286,98.48484848484848,98.85931558935361,93.6936936936937
CellType 4,99.37304075235109,75.0,100.0,100.0,99.36102236421725,85.71428571428571
CellType 5,100.0,100.0,100.0,100.0,100.0,100.0
CellType 6,99.37304075235109,50.0,50.0,99.6845425867508,99.6845425867508,50.0
CellType 7,100.0,100.0,100.0,100.0,100.0,100.0
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,99.68652037617555,66.66666666666666,100.0,100.0,99.6845425867508,80.0
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.68652037617555,0.0,,100.0,99.68652037617555,
