Cell Type,Accuracy%,Precision%,Recall%,Negative Predictive Value%,Specificity%,F1-score%
CellType 0,99.48186528497409,90.625,100.0,100.0,99.45454545454545,95.08196721311475
CellType 1,98.44559585492227,98.09160305343512,98.46743295019157,98.73817034700315,98.42767295597484,98.27915869980879
CellType 2,98.27288428324698,95.3125,89.70588235294117,98.64077669902913,99.412915851272,92.42424242424244
CellType 3,100.0,100.0,100.0,100.0,100.0,100.0
CellType 4,99.48186528497409,97.22222222222221,94.5945945945946,99.6316758747698,99.81549815498155,95.8904109589041
CellType 5,99.13644214162349,100.0,93.42105263157895,99.01574803149606,100.0,96.5986394557823
CellType 6,99.8272884283247,75.0,100.0,100.0,99.82638888888889,85.71428571428571
CellType 7,99.3091537132988,80.95238095238095,100.0,100.0,99.28825622775801,89.4736842105263
CellType 8,100.0,100.0,100.0,100.0,100.0,100.0
CellType 9,99.8272884283247,96.42857142857143,100.0,100.0,99.81884057971014,98.18181818181817
CellType 10,100.0,100.0,100.0,100.0,100.0,100.0
CellType 11,100.0,100.0,100.0,100.0,100.0,100.0
CellType 12,99.8272884283247,100.0,66.66666666666666,99.8266897746967,100.0,80.0
CellType 13,99.8272884283247,0.0,,100.0,99.8272884283247,
